,Video.Name,Width,Height,Video.Length,Frames.per.Second,Frame.Count,Original.Bitrate,Original.Size,Scene.Count,Avg.Motion..,Avg.PCC,Compression.Preset,Compression.Duration,Compressed.Bitrate,Compressed.Size,Average.PSNR,Average.SSIM,Average.VIFp,Normalized.PSNR,Normalized.SSIM,Normalized.VIFp,Normalized.Duration,PSNR.By.Duration,Normalized.Size,SSIM.By.Duration,VIFp.By.Duration,Metric
58,Autumn_leaves_10.mp4,1920,1080,33.5,29.97,1004,1560.011108,51.04863071,1,0.15703,0.99177,veryfast,21.35,108.2042236,3.611758232,42.86,0.984302649,0.766065466,1.295652174,1.675522745,1.44941318,1.032613852,1.254730577,1.013980012,1.622603398,1.403635229,4.2219463
59,Autumn_leaves_10.mp4,1920,1080,33.5,29.97,1004,1560.011108,51.04863071,1,0.15703,0.99177,faster,21.29,108.0562744,3.606818199,42.86,0.984342428,0.766443172,1.295652174,1.68675516,1.463034116,1.032258065,1.255163043,1,1.634044061,1.4173143,4.3065214
60,Autumn_leaves_10.mp4,1920,1080,33.5,29.97,1004,1560.011108,51.04863071,1,0.15703,0.99177,fast,28.3,112.5108643,3.75551033,43.09,0.984618206,0.7698207,1.495652174,1.764626719,1.584835447,1.073825901,1.392825571,1.420790275,1.643308023,1.475877463,3.1757052
61,Autumn_leaves_10.mp4,1920,1080,33.5,29.97,1004,1560.011108,51.04863071,1,0.15703,0.99177,medium,42.49,117.2526855,3.913789749,43.38,0.985150042,0.776440525,1.747826087,1.914801492,1.823561371,1.157969639,1.509388526,1.86871203,1.65358523,1.574792041,2.5353108
62,Autumn_leaves_10.mp4,1920,1080,33.5,29.97,1004,1560.011108,51.04863071,1,0.15703,0.99177,slow,80.65,118.6425781,3.96018219,43.62,0.985451768,0.780746405,1.956521739,2,1.978841184,1.384250474,1.413415979,2,1.444825223,1.429539827,2.1438905
63,Autumn_leaves_10.mp4,1920,1080,33.5,29.97,1004,1560.011108,51.04863071,1,0.15703,0.99177,slower,184.49,114.7828369,3.831348419,43.67,0.985447315,0.781333135,2,1.998742604,2,2,1,1.635407754,0.999371302,1,1.8340205
64,Autumn_leaves_11.mp4,1920,1080,31.331,29.97,939,1571.365967,48.09116173,1,0.081,0.99151,superfast,12.76,52.85766602,1.650105476,44.46,0.987201221,0.74821065,1,1,1,1,1,2,1,1,1.5
65,Autumn_leaves_11.mp4,1920,1080,31.331,29.97,939,1571.365967,48.09116173,1,0.081,0.99151,veryfast,17.89,44.58410645,1.391824722,44.78,0.988155369,0.758372694,1.266666667,1.610700058,1.368505981,1.037969062,1.220331812,1.273302708,1.551780411,1.318445829,3.2125574
66,Autumn_leaves_11.mp4,1920,1080,31.331,29.97,939,1571.365967,48.09116173,1,0.081,0.99151,faster,17.86,44.60461426,1.392463684,44.8,0.988224781,0.759351289,1.283333333,1.655127037,1.40399275,1.037747021,1.236653353,1.275100487,1.594923429,1.352923903,3.2817027
67,Autumn_leaves_11.mp4,1920,1080,31.331,29.97,939,1571.365967,48.09116173,1,0.081,0.99151,fast,22.33,47.66357422,1.487957001,45.1,0.988521509,0.762914552,1.533333333,1.845047056,1.533207278,1.070831175,1.431909501,1.543779953,1.723004616,1.431791785,2.9710879
